,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
65,66,AI制药,BK1170,913.77,29.23,3.3,134593879000,2.18,16,0,嘉和美康,8.02
66,67,华为海思,BK1180,1303.77,41.69,3.3,701649680000,4.23,36,3,美格智能,9.99
67,68,国家安防,BK0667,2623.36,83.66,3.29,1587162512000,3.44,102,19,竞业达,9.99
68,69,数据中心,BK0922,1519.15,48.24,3.28,5958718976000,3.73,168,34,航锦科技,10.01
69,70,电子竞技,BK0853,1240.45,38.65,3.22,2993746176000,1.93,32,4,天娱数科,10.0
70,71,车联网(车路云),BK0920,1293.43,39.98,3.19,5249692672000,2.63,190,26,美格智能,9.99
71,72,裸眼3D,BK1142,990.83,30.22,3.15,301468768000,1.82,22,1,当虹科技,20.0
72,73,生物识别,BK0970,1416.95,43.14,3.14,1048115040000,3.17,46,4,川大智胜,9.98
73,74,短剧互动游戏,BK1151,1153.97,34.9,3.12,356958032000,6.12,24,3,天娱数科,10.0
74,75,知识产权,BK0839,1743.15,51.86,3.07,368724560000,4.87,37,4,拓尔思,19.99
75,76,智慧灯杆,BK1069,1306.49,38.52,3.04,121753543000,3.52,23,2,超讯通信,10.01
76,77,UWB概念,BK0880,1433.02,42.24,3.04,389638848000,1.91,18,2,机器人,6.44
77,78,昨日涨停_含一字,BK1050,119380.36,3485.23,3.01,217505276000,7.1,32,13,华金资本,9.99
78,79,EDR概念,BK1049,1417.97,41.39,3.01,285248624000,2.82,13,1,三六零,10.0
79,80,虚拟现实,BK0722,1004.38,28.65,2.94,3314829200000,3.49,195,29,天娱数科,10.0
80,81,超清视频,BK0859,1725.71,49.17,2.93,2381183360000,2.82,86,13,飞利信,20.08
81,82,PLC概念,BK1119,1260.47,35.78,2.92,338679728000,2.57,9,0,汇川技术,4.83
82,83,物联网,BK0554,13030.78,360.05,2.84,7997937408000,3.16,309,57,美格智能,9.99
83,84,拼多多概念,BK0957,1160.22,31.81,2.82,132513313000,4.59,20,5,每日互动,20.0
84,85,移动支付,BK0556,10747.3,294.46,2.82,3357183984000,2.41,63,11,美格智能,9.99
85,86,跨境支付,BK1071,1482.33,40.41,2.8,11237775360000,0.36,34,16,润和软件,15.45
86,87,蚂蚁概念,BK0937,678.1,18.16,2.75,4849581568000,0.81,36,19,南威软件,10.02
87,88,eSIM,BK0956,1501.05,39.97,2.74,293113488000,1.87,10,0,美格智能,9.99
88,89,同步磁阻电机,BK1131,1339.56,35.38,2.71,59341951000,7.73,4,2,卧龙电驱,10.0
89,90,华为概念,BK0854,3084.53,81.44,2.71,12591508992000,3.2,601,116,美格智能,9.99
90,91,新型工业化,BK1150,1075.0,28.37,2.71,1508204976000,4.43,81,9,用友网络,9.99
91,92,工业互联,BK0832,1947.77,51.08,2.69,4155073312000,3.17,148,38,日海智能,10.06
92,93,北斗导航,BK0629,5016.13,131.09,2.68,859203280000,2.74,70,8,航锦科技,10.01
93,94,量子通信,BK0710,2210.26,57.58,2.67,1291535200000,2.52,39,12,浙江东方,10.02
94,95,增强现实,BK0801,1028.7,26.7,2.66,588618480000,3.67,37,10,川大智胜,9.98
95,96,天基互联,BK0921,1272.14,33.01,2.66,479018512000,3.32,37,3,航锦科技,10.01
96,97,低空经济,BK1166,1264.49,32.78,2.66,3133076032000,2.92,201,36,景兴纸业,10.06
97,98,ETC,BK0875,1539.19,39.88,2.66,355493488000,2.66,40,4,*ST银江,7.07
98,99,纾困概念,BK0851,1483.6,38.17,2.64,397448912000,2.52,46,4,梦网科技,10.04
99,100,混合现实,BK1141,1279.23,32.86,2.64,1008543664000,2.0,25,5,天娱数科,10.0
100,101,智能穿戴,BK0641,2896.11,74.26,2.63,2738068560000,3.01,96,20,三六零,10.0
101,102,机器人执行器,BK1145,1437.68,36.68,2.62,502396112000,5.88,20,6,绿的谐波,12.5
102,103,减速器,BK1100,1335.39,33.98,2.61,579698464000,6.63,49,11,巨轮智能,9.93
103,104,荣耀概念,BK1177,1469.4,37.06,2.59,992850832000,1.73,45,6,苏州天脉,9.41
104,105,机器人概念,BK1090,1479.49,37.03,2.57,6194243328000,3.66,388,70,天娱数科,10.0
105,106,盲盒经济,BK0954,1164.16,29.13,2.57,114687535000,6.42,10,0,顺网科技,8.11
106,107,英伟达概念,BK1161,1259.39,30.95,2.52,1253474704000,3.78,40,8,青云科技-U,19.99
107,108,阿里概念,BK0689,2200.84,53.97,2.51,2881330560000,2.47,85,27,杭钢股份,10.0
108,109,Chiplet概念,BK1101,1424.53,34.85,2.51,648003360000,3.39,24,3,利扬芯片,9.64
109,110,汽车芯片,BK0969,1063.75,25.63,2.47,1165716496000,3.04,50,5,北京君正,13.93
110,111,SPD概念,BK1147,847.15,20.07,2.43,65147123000,2.64,9,2,国新健康,10.02
111,112,3D摄像头,BK0901,1433.92,33.93,2.42,576768016000,1.88,11,0,奥比中光-UW,5.71
112,113,飞行汽车(eVTOL),BK1157,1547.32,36.5,2.42,734581344000,2.99,59,10,景兴纸业,10.06
113,114,植物照明,BK1007,934.3,21.92,2.4,154429982000,2.26,16,2,实益达,10.03
114,115,EDA概念,BK0946,1031.66,24.03,2.38,219000895000,1.96,13,1,航宇微,6.03
115,116,无线耳机,BK0893,1829.7,42.37,2.37,2280908384000,4.7,73,11,实益达,10.03
116,117,智能机器,BK0640,4487.46,103.2,2.35,3362452368000,4.26,142,32,景兴纸业,10.06
117,118,6G概念,BK0964,1247.28,28.67,2.35,509396288000,4.13,25,2,中兴通讯,6.45
118,119,商业航天,BK0963,1374.98,31.44,2.34,1477603616000,2.84,126,26,首都在线,20.0
119,120,NFT概念,BK0997,1445.75,32.82,2.32,488768352000,5.21,45,10,常山北明,8.54
120,121,无人驾驶,BK0802,1584.5,35.94,2.32,5358064896000,2.53,192,49,美格智能,9.99
121,122,微盘股,BK1158,1937.75,43.95,2.32,683824096000,3.08,355,40,青云科技-U,19.99
122,123,基因测序,BK0693,1667.05,37.68,2.31,495862368000,4.41,49,4,利欧股份,9.89
123,124,AI眼镜,BK1178,1587.63,35.82,2.31,1182363328000,3.63,64,11,美格智能,9.99
124,125,数字阅读,BK0959,1556.27,34.89,2.29,196723804000,2.39,14,4,平治信息,9.28
125,126,碳纤维,BK1171,1124.03,24.84,2.26,323970640000,2.24,28,6,金发科技,10.0
126,127,小红书概念,BK1187,1058.86,23.09,2.23,450201376000,9.79,41,17,天娱数科,10.0
127,128,彩票概念,BK0671,2173.05,47.1,2.22,356980880000,2.2,19,2,鸿博股份,4.46
128,129,空间站概念,BK0994,1408.5,30.48,2.21,181782356000,2.23,17,3,泰林生物,7.78
129,130,国产芯片,BK0891,2898.32,62.56,2.21,9463837696000,2.9,298,64,航锦科技,10.01
130,131,屏下摄像,BK0947,961.83,20.72,2.2,577208688000,1.6,10,0,中兴通讯,6.45
131,132,无线充电,BK0960,2314.28,49.42,2.18,1936612224000,2.93,36,5,奋达科技,8.67
132,133,柔性屏(折叠屏),BK1160,1262.77,26.8,2.17,945545712000,2.14,63,10,光大同创,20.01
133,134,独角兽,BK0835,1610.62,34.06,2.16,4923348224000,2.84,97,28,华金资本,9.99
134,135,高带宽内存,BK1152,909.1,19.09,2.14,135271391000,3.8,11,2,华海诚科,9.1
135,136,共享经济,BK0807,749.51,15.64,2.13,225033159000,1.67,16,3,力帆科技,8.71
136,137,胎压监测,BK0898,1938.29,40.17,2.12,291639152000,2.68,23,5,大为股份,10.04
137,138,稀土永磁,BK0578,2073.51,42.26,2.08,920574416000,1.64,52,9,创兴资源,10.14
138,139,工业4.0,BK0810,2142.61,43.49,2.07,2615292592000,2.43,104,26,巨轮智能,9.93
139,140,虚拟电厂,BK0958,1627.17,32.71,2.05,584154928000,1.8,37,14,浙大网新,9.94
140,141,阿兹海默,BK0894,1551.31,31.02,2.04,134622076000,2.86,13,1,鲁抗医药,5.62
141,142,CAR-T细胞疗法,BK0986,852.3,16.72,2.0,401269072000,1.55,22,1,中源协和,6.28
142,143,参股新三板,BK0600,2310.62,45.07,1.99,1347662288000,3.2,77,27,浙江东方,10.02
143,144,预亏预减,BK0570,1735.53,33.79,1.99,10718954752000,2.07,998,259,航锦科技,10.01
144,145,无人机,BK0704,1835.33,35.48,1.97,2516128256000,2.69,140,27,日海智能,10.06
145,146,工业母机,BK1004,1352.89,25.92,1.95,1187502032000,3.57,66,15,巨轮智能,9.93
146,147,电子纸概念,BK1057,1054.43,20.13,1.95,365035728000,1.31,14,0,安诺其,5.21
147,148,创业板综,BK0742,1342.5,25.12,1.91,12469964544000,3.99,1103,247,每日互动,20.0
148,149,托育服务,BK1074,665.99,12.46,1.91,83270097000,5.56,9,3,汤姆猫,6.14
149,150,苹果概念,BK0666,2807.0,52.14,1.89,2645906448000,2.19,106,23,智信精密,20.0
150,151,注册制次新股,BK0971,648.71,12.02,1.89,771534480000,11.14,66,10,苏州天脉,9.41
151,152,3D玻璃,BK0881,1106.9,20.4,1.88,289183536000,2.47,15,3,奥瑞德,5.14
152,153,麒麟电池,BK1092,1092.82,19.91,1.86,1201000496000,2.41,7,2,富临精工,6.17
153,154,养老概念,BK0653,2244.41,40.38,1.83,2710038960000,1.78,88,31,卫宁健康,20.06
154,155,半导体概念,BK0917,1495.2,26.69,1.82,7353971200000,2.13,274,62,航锦科技,10.01
155,156,食品安全,BK0614,5390.96,96.06,1.81,316331808000,2.39,31,11,飞利信,20.08
156,157,房屋检测,BK1179,1207.03,21.49,1.81,206463178000,2.31,27,9,南威软件,10.02
157,158,辅助生殖,BK0939,897.53,15.92,1.81,486413184000,1.45,46,7,思创医惠,7.64
158,159,PEEK材料概念,BK1156,1111.32,19.7,1.8,244252966000,3.29,19,6,金发科技,10.0
159,160,军工,BK0490,55383.53,980.66,1.8,5672939520000,2.27,384,113,航锦科技,10.01
160,161,LED,BK0580,2999.43,52.92,1.8,1291055424000,2.24,74,19,阳光照明,10.14
161,162,全息技术,BK0699,2059.97,36.06,1.78,133074209000,2.53,9,2,*ST银江,7.07
162,163,CRO,BK0899,1200.89,20.98,1.78,478441168000,1.95,36,3,成都先导,8.34
163,164,重组蛋白,BK1063,709.71,12.33,1.77,146575937000,1.11,11,3,成都先导,8.34
164,165,汽车拆解,BK0943,956.29,16.44,1.75,250872709000,1.08,15,3,杭钢股份,10.0
165,166,2025规划,BK0713,882.62,15.13,1.74,3702717872000,1.71,56,25,拓尔思,19.99
166,167,电子后视镜,BK1125,1424.35,24.35,1.74,340136736000,2.23,21,2,好上好,5.25
167,168,纳米银,BK0855,1575.59,26.64,1.72,98502587000,2.91,10,0,苏大维格,3.03
168,169,转基因,BK0907,1352.42,22.75,1.71,118103366000,2.16,12,4,南模生物,11.36
169,170,股权激励,BK0567,2670.62,44.41,1.69,4362017536000,2.4,140,63,天娱数科,10.0
170,171,首发经济,BK1186,879.02,14.59,1.69,281615024000,5.09,25,14,天娱数科,10.0
171,172,免疫治疗,BK0698,1212.38,19.89,1.67,436094960000,1.23,38,6,泰林生物,7.78
172,173,谷子经济,BK1183,971.28,15.52,1.62,465994480000,5.12,44,14,天娱数科,10.0
173,174,传感器,BK0905,1479.2,23.6,1.62,1380247920000,3.04,73,22,竞业达,9.99
174,175,健康中国,BK0719,1039.73,16.57,1.62,1414770672000,1.71,82,21,中基健康,9.97
175,176,黄金概念,BK0547,11555.65,181.25,1.59,1540094768000,1.56,40,16,赤峰黄金,8.45
176,177,创投,BK0506,13903.0,217.86,1.59,4415080960000,2.65,204,91,华金资本,9.99
177,178,MiniLED,BK0902,1612.13,25.01,1.58,902570736000,1.83,50,10,北京君正,13.93
178,179,蒙脱石散,BK1123,922.91,14.31,1.57,55528450000,1.46,8,3,康芝药业,3.56
179,180,新型城镇化,BK1080,818.78,12.65,1.57,403136560000,2.14,76,19,宁波建工,10.02
180,181,建筑节能,BK1076,844.34,12.9,1.55,187480698000,2.09,27,14,达实智能,9.97
181,182,军民融合,BK0808,1406.76,21.47,1.55,2840390704000,2.22,141,40,航锦科技,10.01
182,183,血氧仪,BK1122,880.25,13.41,1.55,126718735000,2.13,12,2,爱朋医疗,5.06
183,184,昨日连板_含一字,BK1051,2184.16,33.23,1.54,57376421000,21.76,6,3,美格智能,9.99
184,185,3D打印,BK0619,4874.57,73.41,1.53,567765120000,3.18,47,18,冀凯股份,10.06
185,186,中芯概念,BK0935,1188.33,17.8,1.52,2323961008000,1.88,52,10,浙江东方,10.02
186,187,通用航空,BK0625,5206.17,77.72,1.52,1048954656000,1.51,30,10,川大智胜,9.98
187,188,专精特新,BK1005,1033.09,15.33,1.51,4511097856000,3.2,560,203,优刻得-W,20.03
188,189,创业成份,BK0638,1636.88,24.27,1.51,5786173184000,2.93,70,29,光线传媒,20.04
189,190,电子烟,BK0865,1637.21,24.1,1.49,918974336000,2.6,34,17,长盈精密,8.49
190,191,网红直播,BK0940,633.32,9.26,1.48,1583399680000,4.98,86,40,实益达,10.03
191,192,次新股,BK0501,24645.53,358.6,1.48,810179184000,10.48,69,21,苏州天脉,9.41
192,193,激光雷达,BK1002,1369.37,19.69,1.46,424257552000,2.86,25,9,竞业达,9.99
193,194,液冷概念,BK1138,1050.6,15.1,1.46,1067871920000,5.49,39,21,日海智能,10.06
194,195,汽车一体化压铸,BK1093,1057.29,15.18,1.46,326631296000,3.13,24,5,宗申动力,6.54
195,196,乡村振兴,BK0834,1316.27,18.81,1.45,1302220192000,2.2,102,33,天娱数科,10.0
196,197,注射器概念,BK0973,812.91,11.57,1.44,70805133000,1.24,12,1,阳普医疗,3.49
197,198,MicroLED,BK0948,965.89,13.6,1.43,464351600000,1.63,18,2,联建光电,3.84
198,199,北交所概念,BK0925,1536.79,21.62,1.43,336789424000,1.54,18,8,用友网络,9.99
199,200,化债(AMC)概念,BK0980,950.86,13.3,1.42,975287888000,1.47,45,16,金桥信息,9.98
200,201,OLED,BK0840,2291.55,31.97,1.41,1977828128000,2.26,98,31,和科达,9.98
201,202,精准医疗,BK0806,882.7,12.3,1.41,557494080000,1.56,39,5,诚迈科技,6.56
202,203,HIT电池,BK0908,2104.54,29.3,1.41,600713168000,1.31,28,10,泉为科技,8.55
203,204,华为汽车,BK0984,1756.07,24.36,1.41,1590351680000,2.95,72,29,天永智能,10.0
204,205,昨日涨停,BK0815,493.62,6.75,1.39,138029657000,8.95,22,13,南威软件,10.02
205,206,长寿药,BK0936,801.1,10.93,1.38,117942299000,2.66,11,4,众生药业,3.48
206,207,小金属概念,BK0695,2227.15,30.02,1.37,2680125024000,1.23,83,24,创兴资源,10.14
207,208,核污染防治,BK0983,1135.81,15.29,1.36,365473456000,0.89,24,7,苏交科,6.54
208,209,富士康,BK0842,1554.75,20.71,1.35,428302368000,2.96,28,6,春秋电子,6.65
209,210,IGBT概念,BK1048,746.17,9.92,1.35,1875024160000,3.11,30,7,利欧股份,9.89
210,211,WiFi,BK0915,1094.56,14.54,1.35,510872640000,2.17,24,3,平治信息,9.28
211,212,医疗器械概念,BK0668,3255.0,43.12,1.34,4372344832000,2.52,224,83,中基健康,9.97
212,213,小米概念,BK0833,1676.67,22.14,1.34,2964620448000,2.66,153,56,日海智能,10.06
213,214,肝炎概念,BK1078,1058.86,13.95,1.34,395070896000,1.8,39,6,迪安诊断,4.98
214,215,QFII重仓,BK0535,15896.98,209.4,1.33,3241738928000,1.93,188,82,华金资本,9.99
215,216,尾气治理,BK0932,1251.78,16.44,1.33,216295457000,1.85,23,10,安车检测,9.93
216,217,氮化镓,BK0916,1196.73,15.71,1.33,901567120000,2.95,41,5,星徽股份,4.36
217,218,痘病毒防治,BK1085,722.38,9.45,1.33,599073424000,1.62,45,10,济高发展,9.93
218,219,独家药品,BK0676,2266.57,29.56,1.32,718478512000,1.1,33,8,达仁堂,4.56
219,220,互联金融,BK0637,4565.26,59.32,1.32,18874948608000,0.59,130,75,天娱数科,10.0
220,221,广电,BK0904,1390.55,17.96,1.31,236634182000,2.3,24,4,数码视讯,4.72
221,222,深圳特区,BK0549,29209.85,377.09,1.31,8972715776000,1.81,251,86,美格智能,9.99
222,223,并购重组概念,BK1181,941.09,12.09,1.3,1354455728000,1.65,58,22,宁波建工,10.02
223,224,流感,BK0906,1378.2,17.68,1.3,1268162064000,1.55,90,25,霍普股份,5.84
224,225,大飞机,BK0814,1243.5,15.78,1.29,1645263056000,1.66,71,26,西测测试,20.01
225,226,低价股,BK1053,936.31,11.71,1.27,2133399680000,1.43,182,59,济高发展,9.93
226,227,病毒防治,BK0675,2242.27,28.04,1.27,1446846880000,1.5,92,27,泰林生物,7.78
227,228,新冠药物,BK1060,713.47,8.92,1.27,518381616000,1.33,47,9,葫芦娃,4.29
228,229,可控核聚变,BK1163,1129.6,14.1,1.26,373002768000,2.06,16,6,新研股份,8.38
229,230,5G概念,BK0714,1138.21,13.98,1.24,7797711360000,3.08,250,71,航锦科技,10.01
230,231,小米汽车,BK1155,1223.68,14.98,1.24,3181472000000,2.5,48,22,东方中科,10.01
231,232,高送转,BK0723,3377.27,41.3,1.24,3311822960000,3.01,150,63,软通动力,11.96
232,233,雄安新区,BK0813,817.01,9.96,1.23,2525371344000,1.48,120,40,常山北明,8.54
233,234,第三代半导体,BK0952,1254.85,14.97,1.21,1616545744000,3.99,90,18,利欧股份,9.89
234,235,宁组合,BK1000,478.79,5.61,1.19,3853160864000,0.97,17,7,昭衍新药,5.47
235,236,BC电池,BK1148,775.87,9.08,1.18,343033600000,1.46,17,5,中科云网,9.8
236,237,智能家居,BK0680,2425.7,28.18,1.18,3478296320000,2.81,105,51,飞利信,20.08
237,238,毛发医疗,BK0996,771.41,8.85,1.16,84909179000,1.32,11,4,金发拉比,4.21
238,239,体外诊断,BK0841,1125.61,12.87,1.16,894919808000,1.31,54,13,中源协和,6.28
239,240,燃料电池,BK0682,2890.46,33.0,1.15,2465467696000,1.75,92,52,航锦科技,10.01
240,241,地下管网,BK1058,890.01,10.1,1.15,285830032000,1.45,30,11,数字政通,6.04
241,242,地塞米松,BK0929,1116.87,12.63,1.14,75668845000,1.3,8,2,振东制药,3.17
242,243,创新药,BK1106,996.92,11.15,1.13,1441660864000,1.15,67,21,昭衍新药,5.47
243,244,新能源车,BK0900,1667.54,18.56,1.13,11003626496000,2.49,431,175,三六零,10.0
244,245,换电概念,BK0985,1240.24,13.73,1.12,808799120000,1.86,34,15,瀚川智能,10.29
245,246,PPP模式,BK0721,639.76,7.08,1.12,2196912752000,1.18,91,56,南威软件,10.02
246,247,智能电网,BK0581,1505.44,16.52,1.11,1790038160000,2.52,122,52,飞利信,20.08
247,248,发电机概念,BK1014,1173.39,12.87,1.11,122170317000,3.69,17,4,宗申动力,6.54
248,249,医疗美容,BK0889,1418.95,15.56,1.11,922426112000,1.15,50,17,爱朋医疗,5.06
249,250,中药概念,BK0615,1931.63,20.84,1.09,1858865072000,1.31,114,32,长药控股,9.04
250,251,汽车热管理,BK1089,1474.74,15.88,1.09,760244176000,4.26,56,23,湘油泵,7.03
251,252,预盈预增,BK0571,4215.35,44.93,1.08,16619593216000,2.45,869,422,华金资本,9.99
252,253,娃哈哈概念,BK1165,1035.72,10.98,1.07,92641597000,2.09,14,6,盛通股份,10.01
253,254,世界杯,BK1105,1579.62,16.54,1.06,2557006832000,2.62,12,7,品茗科技,5.92
254,255,固态电池,BK0968,1439.32,15.05,1.06,4467240960000,1.59,118,42,浙数文化,9.99
255,256,轮毂电机,BK1099,843.38,8.74,1.05,51893158000,1.23,6,2,万安科技,3.52
256,257,单抗概念,BK0870,1340.85,13.82,1.04,1355600416000,0.99,39,9,中源协和,6.28
257,258,锂电池,BK0574,2683.15,27.65,1.04,7187326208000,1.79,265,111,华金资本,9.99
258,259,融资融券,BK0596,2212.66,22.61,1.03,88832970752000,1.25,2311,1291,航锦科技,10.01
259,260,TOPCon电池,BK1097,676.64,6.91,1.03,562236864000,1.46,27,13,中科云网,9.8
260,261,特斯拉,BK0644,4670.63,47.6,1.03,4507124480000,2.64,139,71,金发科技,10.0
261,262,钠离子电池,BK0988,1154.9,11.55,1.01,1831750592000,1.38,35,15,上海洗霸,5.44
262,263,土地流转,BK0632,1481.94,14.67,1.0,418930032000,1.42,35,11,杭钢股份,10.0
263,264,长江三角,BK0594,2238.54,22.12,1.0,8051952384000,1.73,255,148,浙江东方,10.02
264,265,MLCC,BK0890,1673.53,16.34,0.99,173679452000,1.08,10,3,利和兴,4.28
265,266,深股通,BK0804,944.83,9.22,0.99,28422946816000,2.24,864,480,航锦科技,10.01
266,267,碳基材料,BK1006,755.09,7.29,0.97,169800970000,2.16,15,4,力合科创,4.41
267,268,口罩,BK0911,1450.48,13.95,0.97,2697022624000,2.3,105,52,华金资本,9.99
268,269,蓝宝石,BK0674,2329.9,22.24,0.96,511291808000,2.12,15,5,奥瑞德,5.14
269,270,C2M概念,BK0955,1066.05,10.13,0.96,290906352000,3.06,27,12,思特奇,7.64
270,271,股权转让,BK0803,615.59,5.81,0.95,176717351000,1.73,27,10,荣科科技,6.11
271,272,水利建设,BK0597,1481.75,13.97,0.95,2033380688000,1.79,67,39,宁波建工,10.02
